Id,Class
0,9
1,9
2,9
3,9
4,9
5,9
6,3
7,3
8,3
9,3
10,3
11,3
12,9
13,9
14,9
15,3
16,3
17,3
18,3
19,3
20,3
21,9
22,9
23,9
24,3
25,3
26,3
27,9
28,9
29,9
30,9
31,9
32,9
33,9
34,9
35,9
36,9
37,9
38,9
39,3
40,3
41,3
42,9
43,9
44,9
45,9
46,9
47,9
48,9
49,9
50,9
51,9
52,9
53,9
54,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,9
67,9
68,9
69,3
70,3
71,3
72,9
73,9
74,9
75,3
76,3
77,3
78,9
79,9
80,9
81,9
82,9
83,9
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,9
94,9
95,9
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,9
106,9
107,9
108,9
109,9
110,9
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,9
121,9
122,9
123,3
124,3
125,3
126,3
127,3
128,3
129,9
130,9
131,9
132,3
133,3
134,3
135,3
136,3
137,3
138,9
139,9
140,9
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,9
151,9
152,9
153,9
154,9
155,9
156,3
157,3
158,3
159,9
160,9
161,9
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,9
172,9
173,9
174,9
175,9
176,9
177,3
178,3
179,3
180,9
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,9
202,9
203,9
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,9
214,9
215,9
216,3
217,3
218,3
219,9
220,9
221,9
222,3
223,3
224,3
225,9
226,9
227,9
228,9
229,9
230,9
231,3
232,3
233,3
234,3
235,3
236,3
237,3
238,3
239,3
240,9
241,9
242,9
243,3
244,3
245,3
246,9
247,9
248,9
249,9
250,9
251,9
252,9
253,9
254,9
255,9
256,9
257,9
258,3
259,3
260,3
261,9
262,9
263,9
264,9
265,9
266,9
267,3
268,3
269,3
270,9
271,9
272,9
273,3
274,3
275,3
276,3
277,3
278,3
279,9
280,9
281,9
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
